ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA
64443,BLD,Male,2014,3.62,3.33,3.39,3.57,3.46,2.85
23963,BLD,Male,2014,3.67,3.17,3.39,3.91,3.43,3.75
26522,BLD,Male,2014,3.59,2.83,3.06,3.85,4.19,2.57
72095,BLD,Male,2014,2.97,2.87,2.77,3.22,2.32,2.81
51295,BLD,Male,2014,3.88,3.26,3.63,4.41,3.5,3.91
57350,BLD,Male,2014,4.08,3.48,4.04,4.04,4.07,2.88
86144,BLD,Male,2014,3.7,3.87,3.63,3.52,3.39,3.05
30905,BLD,Female,2014,3.27,2.5,2.89,3.52,3.5,2.08
92264,BLD,Female,2014,3.66,3.24,3.63,3.63,4,3.21
52238,BLD,Male,2014,4.24,3.65,3.76,4.72,4.46,2.45
81239,BLD,Male,2014,2.95,3.3,2.7,2.47,2.55,2.5
68527,BLD,Male,2014,3.78,3.28,3.72,3.7,3.54,2.81
28240,BLD,Male,2014,4.25,3,4.11,4.82,4.5,2.15
30613,BLD,Female,2014,3.69,3.33,3.43,3.65,3.92,1.74
80308,BLD,Male,2014,3.79,2.74,3.57,4.12,4.31,2.71
73565,BLD,Male,2014,2.71,2.17,2.03,2.58,3.19,2.17
70272,BLD,Female,2014,3.33,2.87,3.04,3.49,3.11,2.89
42884,BLD,Male,2014,2.8,2.48,2.16,2.58,3.13,2.73
29117,BLD,Male,2011,1.92,2.03,1.4,1.41,1.81,1.84
71436,CHE,Male,2010,1.94,2.8,1.99,1.27,1.77,3.28
62283,CHE,Male,2010,2.6,2.49,2.67,2.09,2.8,2.25
24813,CHE,Male,2012,2.33,2.09,2.1,1.51,1.7,2.92
69305,CHE,Male,2010,2.11,1.95,2.25,1.78,2.06,2.89
45159,CHE,Female,2010,2.16,2.49,1.54,1.47,1.97,2.94
62120,CHE,Female,2010,2.37,2.33,1.67,1.71,3.06,2.88
91549,CHE,Male,2010,3.62,4.6,3.94,2.96,2.15,4.13
28091,CHE,Male,2012,1.98,2.14,1.97,1.65,2.03,3.26
64433,CHE,Male,2010,3.63,3.27,3.87,3.37,4.03,2.73
68265,CHE,Female,2010,3.49,3.53,3.71,3.12,3.25,2.71
54059,CHE,Male,2010,3.43,3.78,3.8,2.92,3.22,3.04
61605,CHE,Male,2010,4.07,4.11,4.4,3.69,3.69,3.57
55705,CHE,Female,2010,4.52,4.43,4.56,4.33,4.59,4.38
49427,CHE,Male,2010,2.72,2.62,3.06,2.8,2.19,3.2
49393,CHE,Male,2010,4.13,4.8,4.52,3.69,3.56,3.61
87357,CHE,Female,2010,2.9,2.44,2.74,2.59,3.34,3.44
42401,CHE,Female,2010,4.43,4.44,4.44,4.08,4.53,2.99
95356,CHE,Male,2010,3.76,3.48,3.78,3.52,4.06,3.91
89502,CHE,Female,2010,4.64,4.44,4.74,4.56,4.63,2.79
36887,CHE,Female,2010,3.01,2.38,2.98,2.86,3.4,2.5
29520,CHE,Male,2010,2.99,3.06,3.43,2.61,2.81,2.29
68823,CHE,Male,2010,4.12,4.44,4.16,3.63,4.09,3.85
39683,CHE,Male,2010,4.07,3.98,4.16,3.67,4.53,3.3
75243,CHE,Male,2010,4.81,4.84,4.84,4.69,4.72,4.45
45234,CHE,Female,2010,2.25,2.42,1.93,1.5,2.72,1.88
27045,CHE,Male,2010,4.32,4.24,4.38,4.19,4.63,2.32
87745,CHE,Female,2010,3.73,3.32,3.92,3.45,4,4.27
95576,CHE,Male,2010,4.6,4.56,4.88,4.4,4.94,4.53
64214,CHE,Female,2010,3.6,3.67,3.84,3.1,3.38,3.44
50159,CHE,Female,2010,4.04,3.89,4.22,3.94,4.06,2.65
35633,CHE,Female,2010,2.66,2.61,2.39,2.42,2.77,2.64
75896,CHE,Female,2010,3.82,3.58,4.02,3.52,3.78,2.95
57264,CHE,Male,2010,3.81,3.76,3.92,3.73,3.81,3.83
30338,CHE,Male,2010,4.51,4.76,4.48,4.5,4.41,3.75
66058,CHE,Male,2010,3.7,3.73,3.76,3.54,3.38,3.54
82891,CHE,Male,2010,4.35,4.11,4.34,4.25,4.69,4.24
87071,CHE,Female,2010,3.83,3.41,3.78,3.6,4.25,3.05
51004,CHE,Male,2010,3.43,3.93,3.96,2.77,2.72,3.75
42485,CHE,Male,2014,1.95,2.84,2.75,1.63,1,2.43
62356,CHE,Male,2010,3.87,4.36,4.14,3.25,4.22,3.93
46749,CHE,Male,2010,2.83,3.45,2.86,2.02,2.47,3.02
37470,CHE,Female,2010,3.18,3.04,3.71,2.79,2.81,3.05
92052,CHE,Female,2010,4.29,4,4.32,4.31,4.31,3.82
81285,CHE,Male,2010,4.05,3.84,4.3,3.57,4.28,3.98
75838,CHE,Female,2010,4.56,4.4,4.72,4.43,4.5,3.75
42072,CHE,Female,2012,2.04,2.46,1.96,1.72,2.11,2.6
93231,CHE,Female,2010,2.75,2.46,3.12,2.43,2.28,2.92
65087,CHE,Male,2010,3.8,4.07,3.78,3.43,3.75,3.47
78697,CHE,Male,2010,4.67,4.76,4.78,4.69,4.69,4.53
68194,CHE,Female,2010,4.42,4.22,4.68,4.29,4.25,1.77
69509,CHE,Female,2010,3.9,3.78,3.57,3.76,4.28,3.89
